marque;modele;prix;annee;kilometrage;energie;nombre chevaux;code postal
Nissan;Qashqai;27990;2024;8000;essence;1902022;91100
Nissan;Qashqai;26490;2023;17959;essence;190;49000
Volkswagen;Taigo;29900;2022;88900;essence;101167;57070
Nissan;Qashqai;24990;2023;21000;essence;190;49000
Volkswagen;Taigo;25990;2024;7500;essence;101107;59650
Nissan;Qashqai;29900;2022;10000;essence;13158;49000
Nissan;Qashqai;26791;2023;32500;essence;1902022;44400
Nissan;Qashqai;30990;2023;25000;essence;158;17690
Nissan;Qashqai;23990;2023;36690;essence;13158;91940
Nissan;Qashqai;38791;2024;10000;essence;190;91100
Nissan;Qashqai;26790;2021;38765;essence;158;17200
Nissan;Qashqai;35991;2023;25000;essence;13158;78310
Nissan;Qashqai;30690;2023;30861;essence;13158;78310
Nissan;Qashqai;41267;2024;9000;essence;190;91100
Nissan;Qashqai;41265;2024;7500;essence;13158;91100
Nissan;Qashqai;27991;2024;8000;essence;190;91170
Audi;Q3;43300;2024;7900;essence;452456;57685
Nissan;Qashqai;35802;2022;11621;essence;13158;91100
Nissan;Qashqai;39920;2023;29544;essence;190;77240
Nissan;Qashqai;35990;2020;39827;essence;190;89100
Volkswagen;T-Roc;39490;2025;6990;essence;1521507;67210
Toyota;C-HR;25995;2022;16292;essence;184222;63200
Nissan;Qashqai;27990;2022;33407;essence;158;91700
Volkswagen;T-Cross;18990;2020;31358;essence;101167;59640
Opel;Crossland X;29990;2024;11180;essence;121101206;67100
Volkswagen;T-Cross;25999;2024;8500;essence;101167;63170
Volkswagen;T-Cross;25990;2025;8000;essence;101107;83470
Toyota;C-HR;30495;2024;6098;essence;2022525;78240
Renault;Megane;13990;2021;118220;Diesel;11521;18230
Renault;Clio;13990;2019;48497;essence;14021;13120
Renault;Zoe;7990;2022;85964;Diesel;2017;Super affaire
Dacia;Spring;9990;2019;119275;Diesel;;76360
Renault;Megane;13990;2021;118220;Diesel;11521;18230
Renault;Clio;13990;2019;48497;essence;14021;13120
Renault;Zoe;7990;2022;85964;Diesel;2017;Super affaire
Dacia;Spring;9990;2019;119275;Diesel;;76360
