marque,modele,prix,annee,kilometrage,energie,nombre chevaux,code postal,latitude,longitude,ville,région
Mercedes-Benz,GLA,46660,2020,50833,essence,250,11000.0,43.206781,2.349415,Carcassonne,Occitanie
Renault,Clio,13990,2020,99398,essence,90,86440.0,46.623612,0.309819,Migné-Auxances,Nouvelle-Aquitaine
Renault,Captur,16490,2024,2951,essence,145,83300.0,43.531436,6.460296,Draguignan,Provence-Alpes-Côte d'Azur
Renault,Megane,26000,2023,28620,essence,115,10200.0,48.232115,4.707135,Bar-sur-Aube,Grand Est
Renault,Megane,92900,2024,28408,Diesel,115,26200.0,44.553424,4.745639,Montélimar,Auvergne-Rhône-Alpes
Renault,Clio,22200,2023,24552,essence,140,44190.0,47.092311,-1.27044,Clisson,Pays de la Loire
Renault,Captur,27480,2021,47078,Diesel,145,93160.0,48.840106,2.551491,Noisy-le-Grand,Île-de-France
Renault,Captur,21900,2023,16592,essence,160,78190.0,48.778249,1.993009,Trappes,Île-de-France
Renault,Clio,16490,2024,12235,essence,140,5000.0,,,,
Renault,Captur,20900,2025,9900,essence,145,91150.0,48.429826,2.156585,Étampes,Île-de-France
Renault,Clio,23490,2021,134875,essence,145,10200.0,48.232115,4.707135,Bar-sur-Aube,Grand Est
Renault,Clio,16490,2023,13401,essence,145,14000.0,49.184316,-0.37193,Caen,Normandie
Renault,Arkana,24990,2022,47422,essence,140,41250.0,47.553345,1.449717,Mont-près-Chambord,Centre-Val de Loire
Peugeot,e-2008,27490,2024,15553,Diesel,136,56000.0,47.659971,-2.752192,Vannes,Bretagne
Renault,Clio,16490,2023,14200,essence,140,83100.0,43.129342,5.968125,Toulon,Occitanie
Renault,Captur,23990,2019,56150,Diesel,145,64100.0,43.488544,-1.466564,Bayonne,Nouvelle-Aquitaine
Peugeot,e-2008,19990,2020,51504,essence,136,14000.0,49.184316,-0.37193,Caen,Normandie
Renault,Captur,18990,2022,30674,hybride,160,69200.0,45.707095,4.881379,Vénissieux,Auvergne-Rhône-Alpes
Mercedes-Benz,GLA,19990,2024,16383,Diesel,200,68390.0,47.783364,7.378135,Sausheim,Grand Est
Peugeot,e-2008,14990,2024,23100,essence,136,,47.505522,0.820921,Monnaie,Centre-Val de Loire
Renault,Clio,20790,2020,41735,essence,140,93100.0,48.863728,2.449364,Montreuil,Bourgogne-Franche-Comté
Renault,Captur,15990,2021,25746,essence,145,63210.0,45.717155,2.902465,Nébouzat,Auvergne-Rhône-Alpes
Nissan,Qashqai,27900,2023,30167,essence,190,77210.0,48.412892,2.728822,Avon,Île-de-France
Renault,Captur,18490,2024,6424,essence,115,45770.0,47.946991,1.875843,Saran,Centre-Val de Loire
Renault,Captur,19990,2023,45821,essence,140,37170.0,47.332303,0.717976,Chambray-lès-Tours,Centre-Val de Loire
